converted_country_name,discipline_title,medal_type,medal_count
United States,Athletics,GOLD,288
United States,Athletics,SILVER,255
United States,Athletics,BRONZE,209
United States,Swimming,GOLD,187
United States,Swimming,SILVER,162
United States,Swimming,BRONZE,135
Russia,Wrestling,GOLD,97
Russia,Athletics,BRONZE,88
Germany,Athletics,BRONZE,85
Germany,Athletics,SILVER,84
Russia,Athletics,GOLD,81
Russia,Gymnastics Artistic,SILVER,71
United Kingdom,Athletics,SILVER,70
Russia,Athletics,SILVER,69
Russia,Gymnastics Artistic,GOLD,68
Germany,Athletics,GOLD,67
Russia,Gymnastics Artistic,BRONZE,59
Australia,Swimming,GOLD,56
Australia,Swimming,BRONZE,56
United States,Wrestling,GOLD,55
Germany,Swimming,BRONZE,53
United Kingdom,Athletics,BRONZE,53
Australia,Swimming,SILVER,51
United Kingdom,Athletics,GOLD,50
Germany,Swimming,GOLD,50
United States,Boxing,GOLD,50
Japan,Judo,GOLD,48
United States,Diving,GOLD,48
Netherlands,Speed skating,GOLD,46
Russia,Wrestling,SILVER,45
Finland,Athletics,GOLD,45
Austria,Alpine Skiing,SILVER,44
United States,Wrestling,SILVER,44
Austria,Alpine Skiing,BRONZE,44
Netherlands,Speed skating,SILVER,44
Russia,Weightlifting,GOLD,43
United States,Diving,BRONZE,43
United States,Shooting,GOLD,42
Russia,Wrestling,BRONZE,41
Germany,Swimming,SILVER,41
Kenya,Athletics,SILVER,41
Cuba,Boxing,GOLD,41
United States,Diving,SILVER,40
United States,Boxing,BRONZE,40
Norway,Cross Country Skiing,GOLD,39
Austria,Alpine Skiing,GOLD,39
United States,Wrestling,BRONZE,39
Netherlands,Speed skating,BRONZE,39
China,Weightlifting,GOLD,38
Japan,Wrestling,GOLD,37
Russia,Boxing,BRONZE,37
United States,Gymnastics Artistic,SILVER,37
Sweden,Athletics,BRONZE,37
Finland,Athletics,SILVER,35
Kenya,Athletics,GOLD,34
Bulgaria,Wrestling,SILVER,32
Russia,Shooting,SILVER,32
United States,Gymnastics Artistic,GOLD,32
United States,Gymnastics Artistic,BRONZE,32
Sweden,Wrestling,BRONZE,31
Russia,Cross Country Skiing,GOLD,31
Russia,Shooting,BRONZE,31
Norway,Speed skating,BRONZE,30
France,Fencing,SILVER,30
Kenya,Athletics,BRONZE,30
Japan,Gymnastics Artistic,SILVER,30
Japan,Gymnastics Artistic,BRONZE,30
Russia,Cross Country Skiing,SILVER,30
Norway,Cross Country Skiing,BRONZE,30
United States,Speed skating,GOLD,30
Finland,Athletics,BRONZE,30
Türkiye,Wrestling,GOLD,29
Norway,Speed skating,SILVER,29
United States,Shooting,SILVER,29
Finland,Wrestling,BRONZE,29
China,Diving,GOLD,29
Russia,Cross Country Skiing,BRONZE,29
Russia,Weightlifting,SILVER,28
Australia,Athletics,BRONZE,28
Sweden,Wrestling,GOLD,28
Finland,Wrestling,SILVER,28
Russia,Swimming,BRONZE,28
Germany,Speed skating,SILVER,28
Norway,Cross Country Skiing,SILVER,28
Poland,Athletics,GOLD,28
France,Judo,BRONZE,28
Switzerland,Alpine Skiing,GOLD,27
United Kingdom,Boxing,BRONZE,27
Italy,Fencing,GOLD,27
Japan,Judo,BRONZE,27
Norway,Speed skating,GOLD,27
Russia,Speed skating,GOLD,27
United States,Boxing,SILVER,27
Sweden,Wrestling,SILVER,27
Germany,Luge,GOLD,27
Hungary,Swimming,GOLD,27
Canada,Athletics,BRONZE,26
Russia,Shooting,GOLD,26
Finland,Wrestling,GOLD,26
Jamaica,Athletics,SILVER,26
Poland,Boxing,BRONZE,26
China,Shooting,BRONZE,25
China,Shooting,GOLD,25
Switzerland,Alpine Skiing,BRONZE,25
Russia,Boxing,GOLD,25
Germany,Wrestling,SILVER,25
Russia,Boxing,SILVER,25
Japan,Swimming,BRONZE,25
Finland,Cross Country Skiing,BRONZE,25
Japan,Gymnastics Artistic,GOLD,24
Hungary,Swimming,SILVER,24
United Kingdom,Swimming,BRONZE,24
Germany,Gymnastics Artistic,BRONZE,24
Germany,Judo,BRONZE,24
Russia,Speed skating,BRONZE,24
Australia,Athletics,SILVER,24
Hungary,Fencing,GOLD,24
Bulgaria,Wrestling,BRONZE,23
Switzerland,Alpine Skiing,SILVER,23
Ethiopia,Athletics,GOLD,23
Germany,Speed skating,GOLD,23
Poland,Weightlifting,BRONZE,23
United States,Shooting,BRONZE,23
United Kingdom,Cycling Track,GOLD,23
Italy,Athletics,GOLD,23
Russia,Swimming,SILVER,23
Italy,Fencing,SILVER,23
Jamaica,Athletics,GOLD,23
Germany,Boxing,BRONZE,23
Russia,Judo,BRONZE,23
Japan,Swimming,SILVER,23
France,Fencing,BRONZE,23
France,Fencing,GOLD,23
Germany,Luge,SILVER,23
Italy,Athletics,BRONZE,23
France,Athletics,SILVER,23
Japan,Wrestling,SILVER,22
Sweden,Cross Country Skiing,GOLD,22
Ethiopia,Athletics,BRONZE,22
China,Gymnastics Artistic,GOLD,22
Romania,Gymnastics Artistic,GOLD,22
Japan,Swimming,GOLD,22
United Kingdom,Swimming,SILVER,22
Germany,Gymnastics Artistic,SILVER,22
Italy,Fencing,BRONZE,22
Russia,Speed skating,SILVER,22
Sweden,Cross Country Skiing,SILVER,21
