converted_country_name,event_gender,medal_type,medal_count
United States,Men,GOLD,639
United States,Men,SILVER,554
United States,Men,BRONZE,477
Russia,Men,GOLD,357
Russia,Men,BRONZE,315
Russia,Men,SILVER,274
Germany,Men,BRONZE,263
United States,Women,GOLD,243
Germany,Men,SILVER,222
United States,Women,SILVER,221
United States,Women,BRONZE,213
Germany,Men,GOLD,196
Germany,Women,SILVER,189
France,Men,BRONZE,165
Germany,Women,GOLD,161
Russia,Women,SILVER,161
United Kingdom,Men,BRONZE,161
Russia,Women,BRONZE,159
France,Men,SILVER,155
United Kingdom,Men,SILVER,155
Russia,Women,GOLD,151
Germany,Women,BRONZE,150
Sweden,Men,BRONZE,149
France,Men,GOLD,140
United Kingdom,Men,GOLD,139
Italy,Men,GOLD,138
Norway,Men,GOLD,136
Italy,Men,BRONZE,135
Sweden,Men,GOLD,129
Sweden,Men,SILVER,126
Japan,Men,BRONZE,125
Finland,Men,BRONZE,122
China,Women,GOLD,120
Japan,Men,GOLD,118
Finland,Men,GOLD,117
Norway,Men,BRONZE,116
Finland,Men,SILVER,111
Japan,Men,SILVER,110
Norway,Men,SILVER,106
Italy,Men,SILVER,104
Hungary,Men,BRONZE,101
Hungary,Men,GOLD,99
China,Women,SILVER,98
China,Men,GOLD,96
Hungary,Men,SILVER,94
China,Women,BRONZE,90
Canada,Men,BRONZE,89
Poland,Men,BRONZE,86
China,Men,SILVER,77
Australia,Men,BRONZE,75
Australia,Men,SILVER,73
Austria,Men,BRONZE,72
South Korea,Men,BRONZE,71
Canada,Men,SILVER,71
South Korea,Men,SILVER,71
China,Men,BRONZE,70
Cuba,Men,GOLD,69
United Kingdom,Women,BRONZE,68
Switzerland,Men,SILVER,66
Switzerland,Men,BRONZE,65
Switzerland,Men,GOLD,64
Australia,Women,BRONZE,63
Australia,Men,GOLD,63
Netherlands,Women,GOLD,63
South Korea,Men,GOLD,60
Bulgaria,Men,SILVER,59
Netherlands,Men,BRONZE,59
Canada,Women,BRONZE,59
Austria,Men,SILVER,59
United Kingdom,Women,SILVER,57
Romania,Men,BRONZE,56
Australia,Women,GOLD,56
Netherlands,Men,SILVER,55
Netherlands,Women,BRONZE,54
France,Women,SILVER,53
Czechia,Men,BRONZE,53
Canada,Men,GOLD,53
Austria,Men,GOLD,52
Cuba,Men,BRONZE,52
Poland,Men,GOLD,52
Netherlands,Men,GOLD,51
Bulgaria,Men,BRONZE,50
Canada,Women,SILVER,50
Japan,Women,BRONZE,49
France,Women,BRONZE,48
Japan,Women,GOLD,48
Italy,Women,BRONZE,48
Czechia,Men,SILVER,46
Australia,Women,SILVER,46
Czechia,Men,GOLD,44
United Kingdom,Women,GOLD,44
Netherlands,Women,SILVER,44
Italy,Women,SILVER,44
Cuba,Men,SILVER,43
Poland,Men,SILVER,43
Romania,Women,GOLD,42
