country_name,medal_type,game_season,athlete_full_name,age_at_medal
Afghanistan,BRONZE,Summer,Rohullah NIKPAI,21.0
Algeria,BRONZE,Summer,Mohamed BAHARI,20.0
Algeria,GOLD,Summer,Taoufik MAKHLOUFI,24.0
Algeria,SILVER,Summer,Ali SAIDI-SIEF,22.0
Argentina,BRONZE,Summer,Francisco RISIGLIONE,19.0
Argentina,GOLD,Summer,Alberto Santiago LOVELL,20.0
Argentina,SILVER,Summer,Gabriela SABATINI,18.0
Armenia,BRONZE,Summer,Artur ALEKSANYAN,21.0
Armenia,GOLD,Summer,Armen NAZARYAN,14.0
Armenia,SILVER,Summer,Simon MARTIROSYAN,19.0
Australasia,BRONZE,Summer,Frank DE BEAUREPAIRE,17.0
Australasia,GOLD,Summer,Fanny DURACK,20.0
Australasia,SILVER,Summer,Frank DE BEAUREPAIRE,17.0
Australia,BRONZE,Summer,Michelle PEARSON,-7.0
Australia,BRONZE,Winter,Tess COADY,22.0
Australia,GOLD,Summer,John ANDERSON,6.0
Australia,GOLD,Winter,Dale BEGG-SMITH,21.0
Australia,SILVER,Summer,Leisel JONES,15.0
Australia,SILVER,Winter,Jarryd HUGHES,23.0
Austria,BRONZE,Summer,Otto SCHEFF,19.0
Austria,BRONZE,Winter,Ingrid WENDL,16.0
Austria,GOLD,Summer,Ellen S. PREIS-MÜLLER,20.0
Austria,GOLD,Winter,Manfred STENGL,18.0
Austria,SILVER,Summer,Otto HERSCHMANN,19.0
Austria,SILVER,Winter,Erik PAUSIN,16.0
Azerbaijan,BRONZE,Summer,Valentin HRISTOV,18.0
Azerbaijan,GOLD,Summer,Elnur MAMMADLI,20.0
Azerbaijan,SILVER,Summer,Rovshan BAYRAMOV,21.0
Bahamas,BRONZE,Summer,Leevan SANDS,27.0
Bahamas,GOLD,Summer,Steven GARDINER,25.0
Bahrain,GOLD,Summer,Ruth JEBET,20.0
Bahrain,SILVER,Summer,Kalkidan GEZAHEGNE,29.0
Barbados,BRONZE,Summer,Obadele THOMPSON,24.0
Belarus,BRONZE,Summer,Alina HARNASKO,19.0
Belarus,BRONZE,Winter,Alexei GRISHIN,23.0
Belarus,GOLD,Summer,Victoria AZARENKA,23.0
Belarus,GOLD,Winter,Darya DOMRACHEVA,28.0
Belarus,SILVER,Summer,Yulia RASKINA,18.0
Belarus,SILVER,Winter,Anton SMOLSKI,26.0
Belgium,BRONZE,Summer,Ingrid LEMPEREUR,15.0
Belgium,BRONZE,Winter,Robert VAN ZEEBROECK,19.0
Belgium,GOLD,Summer,Charles DELPORTE,10.0
Belgium,GOLD,Winter,Micheline LANNOY,23.0
Belgium,SILVER,Summer,Michel VAARTEN,19.0
Belgium,SILVER,Winter,Bart SWINGS,27.0
Bermuda,BRONZE,Summer,Clarence HILL,25.0
Bermuda,GOLD,Summer,Flora DUFFY,33.0
Bohemia,SILVER,Summer,Frantisek JANDA-SUK,22.0
Botswana,SILVER,Summer,Nijel AMOS,18.0
Brazil,BRONZE,Summer,Alison DOS SANTOS,20.0
Brazil,GOLD,Summer,Marcos Pinto Rizzo SOARES,19.0
Brazil,SILVER,Summer,Rayssa LEAL,12.0
Bulgaria,BRONZE,Summer,Georgi GEORGIEV,17.0
Bulgaria,BRONZE,Winter,Ivan LEBANOV,23.0
Bulgaria,GOLD,Summer,Armen NAZARYAN,18.0
Bulgaria,GOLD,Winter,Ekaterina DAFOVSKA,23.0
Bulgaria,SILVER,Summer,Antoaneta FRENKEVA,17.0
Bulgaria,SILVER,Winter,Evgeniya RADANOVA,25.0
Burkina Faso,BRONZE,Summer,Fabrice ZANGO HUGUES,27.0
Burundi,GOLD,Summer,Venuste NIYONGABO,23.0
Burundi,SILVER,Summer,Francine NIYONSABA,23.0
Cameroon,BRONZE,Summer,Martin NDONGO-EBANGA,18.0
Cameroon,GOLD,Summer,Françoise MBANGO ETONE,28.0
Cameroon,SILVER,Summer,Joseph BESSALA,27.0
Canada,BRONZE,Summer,Shannon SMITH,15.0
Canada,BRONZE,Winter,Petra BURKA,18.0
Canada,GOLD,Summer,Penny OLEKSIAK,16.0
Canada,GOLD,Winter,Kathy KREINER,19.0
Canada,SILVER,Summer,Penny OLEKSIAK,16.0
Canada,SILVER,Winter,Debbi WILKES,18.0
Chile,BRONZE,Summer,Claudio BARRIENTOS,22.0
Chile,GOLD,Summer,Fernando GONZALEZ,24.0
Chile,SILVER,Summer,Marlene AHRENS,23.0
Chinese Taipei,BRONZE,Summer,Shu Ju CHI,18.0
Chinese Taipei,GOLD,Summer,Shu-Ching HSU,21.0
Chinese Taipei,SILVER,Summer,Yung Wei YANG,23.0
Colombia,BRONZE,Summer,Oscar MUNOZ,19.0
Colombia,GOLD,Summer,Mariana PAJÓN,21.0
Colombia,SILVER,Summer,Leidy Yessenia SOLIS ARBOLEDA,18.0
Costa Rica,BRONZE,Summer,Claudia POLL AHRENS,28.0
Costa Rica,GOLD,Summer,Claudia POLL AHRENS,24.0
Costa Rica,SILVER,Summer,Silvia POLL AHRENS,18.0
Croatia,BRONZE,Summer,Martina ZUBCIC,19.0
Croatia,BRONZE,Winter,Jakov FAK,23.0
Croatia,GOLD,Summer,Sara KOLAK,21.0
Croatia,GOLD,Winter,Janica KOSTELIC,20.0
