discipline_title,slug_game,event_title,event_gender,medal_type,participant_type,participant_title,athlete_url,athlete_full_name,country_name,country_code,country_3_letter_code,games_participations,first_game,athlete_year_birth,athlete_medals,bio
Snowboard,beijing-2022,Mixed Team Snowboard Cross,Mixed,GOLD,GameTeam,United States of America 1,https://olympics.com/en/athletes/lindsey-jacobellis,Lindsey JACOBELLIS,United States of America,US,USA,5.0,Turin 2006,1985.0,"


2

G



1

S

","


Lindsey Jacobellis has become the top American female in boardercross, winning five gold medals in the event at Winter X through 2009, and a silver medal in 2007. She was the 2005 World Champion and Grand Prix Champion and was heavily favored to win the 2006 Olympic gold medal. A series of television commercials prior to the Torino Olympics focused on her pursuit of the SBX gold. In the final at Torino, Jacobellis was leading for most of the race, coming to the last jump with a three-second lead over Frieden. But Jacobellis then hot dogged it, going for a twisting grab, and fell. Frieden passed her for the gold medal, although Jacobellis was able to recover for the silver. Jacobellis noted, “Snowboarding is fun. I was having fun.” She has recovered to dominate the circuit in 2007-09, winning Winter X gold in 2008 and 2009.





"
Figure skating,beijing-2022,Ice Dance,Mixed,GOLD,GameTeam,PAPADAKIS Gabriella / CIZERON Guillaume,https://olympics.com/en/athletes/gabriella-papadakis,Gabriella PAPADAKIS,France,FR,FRA,2.0,PyeongChang 2018,1995.0,"


1

G



1

S

","


Three-time world champions and four-time European champions, French ice dancers Gabriella Papadakis and Guillaume Cizeron had to settle for silver behind Canadian duo Tessa Virtue and Scott Moir at PyeongChang 2018. With age still very much on their side, the world record holders for the short dance, free dance and combined points totals are already planning their bid for gold at Beijing 2022.


A proud tradition


French figure skating has produced many a successful ice dance pair since the 1990s, led by 1991 world champions and Olympic silver medallists Isabelle and Paul Duchesnay.


The list also includes Gwendal Peizerat and Marina Anissina (2000 world champions and Salt Lake 2002 Olympic champions); Isabelle Delobbel and Olivier Schoenfelder (2008 world champions) and Nathalie Péchalat and Fabian Bourzat (two-time World Championship medallists and double European champions.)


Worthy successors


Aged only 22 and 23 respectively, Gabriella Papadakis and Guillaume Cizeron are well on the way to achieving even more than their illustrious predecessors, having already won three world and four continental titles in dominating the international scene since Sochi 2014.


As Cizeron explained: “Even though we’ve only just started our careers and we’re still pretty young, we’ve gone some way already to making our mark on skating. I hope there’s a lot more to come too.”


Perfect partners


Born on 10 May 1995 in Clermont-Ferrand, Papadakis first took to the ice at an early age thanks to her mother Catherine, a figure skating coach. Twenty-four-year-old Cizeron also received an early introduction to the sport through his father Marc, president of the Clermont Auvergne Ice Dance Club.


It was Papadakis’ mother, the pair’s first coach, who suggested they start skating together when Gabriella was around nine. The two quickly developed a strong rapport, training hard during their school years. “It comes naturally when you’re 12 and 13, and our first aim was to become champions of France,” explained Papadakis. “And when we took part in our first international competition, we wanted to finish first,” added Cizeron.


A sign of things to come


After excelling on the international stage at junior level and finishing second at the 2013 World Junior Figure Skating Championships in Milan, despite Papadakis suffering from an ankle injury, the French pair made their senior debut in the 2013/14 season.


After placing 13th at their first Worlds in March 2014 they then relocated to Montreal to train. In November that same year they took their maiden major win at the ISU Grand Prix Cup of China in Shanghai and then lifted the Trophée de France in Paris.


Expressing their lofty ambitions, Papadakis said: “We want to innovate, to do things no one’s ever done before and take skating in a new direction.”


World and european doubles


At the 2015 European Championships in Stockholm (SWE), Papadakis and Cizeron scored highest in both the short programme and the free skate to land their first continental title. Two months later in Shanghai (CHN) the French pair added a maiden world title. Performing a stunning free skate to the sound of Mozart’s Piano Concerto No. 23, they scored 112.34 points to climb up from fourth after the short and take the gold.


“It was an intensely pleasurable experience, which was exactly what we wanted to achieve,” said Cizeron at the time. “We are only at the start of our careers and we weren’t really expecting this. Even we are amazed.”


They retained both titles in 2016, in Bratislava (SVK) in January and Boston (USA) in March, again thanks to outstanding performances in the free skate.


Bouncing back


In Montreal, Papadakis and Cizeron trained with Canadian 2010 Olympic champions Tessa Virtue and Scott Moir. Returning from a two-year sabbatical, in December 2016 Virtue and Moir got the better of the French duo at the NHK Trophy in Sapporo (JAP), before beating them once again in the final of the ISU Grand Prix in Marseille (FRA). The defeats were the French pair’s first since the 2014/15 season.


Papadakis and Cizeron were back on top of the podium in January 2017 in Ostrava (CZE), winning their third straight European title by some distance over the Italians Anna Cappellini and Luca Lanotte and the Russians Ekaterina Bobrova and Dmitri Soloviev.


Two months later, however, Virtue and Moir beat them to gold again at the 2017 World Championships in Helsinki, giving the French pair plenty to ponder ahead of the Olympic season.


Record-breaking form


The main contenders for Olympic gold at PyeongChang 2018, the two pairs largely avoided each other on the ISU circuit in the lead-up to the Games. Papadakis and Cizeron became the first duo to break the 200-point barrier at the Cup of China on 4 November 2017 and two weeks later scored a world-record 120.58 in the free dance at the Internationaux de France.


On 9 December the Canadians and French eventually met at the Grand Prix in Nagoya (JAP), where Papadakis and Cizeron set a new combined points world record of 202.16, topping the standings in the short and the free ahead of Virtue and Moir, who totalled 199.86 points. 


Olympic runners-up and world champions


The Olympic showdown between ice dancing’s leading two teams began with Papadakis suffering a problem with her costume during the short programme, which ended with the French trailing their Canadian rivals by a point. It was a gap Papadakis and Cizeron were unable to close in the free, despite posting a new world record of 123.25 points. The reason for that was that Virtue and Moir turned in an equally sparkling performance to clinch their second Olympic title with a world record points total of 206.07, with the French just behind them on 205.28.


“We gave our all and I’m happy with what we achieved,” said Cizeron. “It was almost perfect and we can be proud of ourselves.”


A month later in Milan (ITA), Papadakis and Cizeron won their third world title, reaching new heights in the process, thanks to world records in the short (83.73 points), the free (123.47 points) and overall (207.20 points), putting them well clear of the USA’s Madison Hubbell and Zachary Donohue and Canada’s Kaitlyn Weaver and Andrew Poje.


“This isn’t revenge, because Virtue and Moir weren’t here,” said Cizeron afterwards. “Obviously we wanted to end the season on a high note, especially after what happened at the Games, where we didn’t get the medal we were looking for,” added Papadakis.


Next stop Beijing


The French pair are looking to add to their extensive collection of medals, already planning for their next bid for Olympic gold. “We’ll go again in four years’ time,” said Papadakis. “We’ll need to keep developing our style, though we’re not exactly sure what we’re going to do yet because we were focusing so hard on the Olympic season. We still have a lot of passion, though, and we still want to keep doing new things.


Cizeron added: “We’re going to try to keep moving forward with our dancing, with concepts, and keep trying to do daring things and take ice dancing in a modern and fresh direction.”







"
Figure skating,beijing-2022,Ice Dance,Mixed,GOLD,GameTeam,PAPADAKIS Gabriella / CIZERON Guillaume,https://olympics.com/en/athletes/guillaume-cizeron,Guillaume CIZERON,France,FR,FRA,2.0,PyeongChang 2018,1994.0,"


1

G



1

S

","


Three-time world champions and four-time European champions, French ice dancers Gabriella Papadakis and Guillaume Cizeron had to settle for silver behind Canadian duo Tessa Virtue and Scott Moir at PyeongChang 2018. With age still very much on their side, the world record holders for the short dance, free dance and combined points totals are already planning their bid for gold at Beijing 2022.


A proud tradition


French figure skating has produced many a successful ice dance pair since the 1990s, led by 1991 world champions and Olympic silver medallists Isabelle and Paul Duchesnay.


The list also includes Gwendal Peizerat and Marina Anissina (2000 world champions and Salt Lake 2002 Olympic champions); Isabelle Delobbel and Olivier Schoenfelder (2008 world champions) and Nathalie Péchalat and Fabian Bourzat (two-time World Championship medallists and double European champions.)


Worthy successors


Aged only 22 and 23 respectively, Gabriella Papadakis and Guillaume Cizeron are well on the way to achieving even more than their illustrious predecessors, having already won three world and four continental titles in dominating the international scene since Sochi 2014.


As Cizeron explained: “Even though we’ve only just started our careers and we’re still pretty young, we’ve gone some way already to making our mark on skating. I hope there’s a lot more to come too.”


Perfect partners


Born on 10 May 1995 in Clermont-Ferrand, Papadakis first took to the ice at an early age thanks to her mother Catherine, a figure skating coach. Twenty-four-year-old Cizeron also received an early introduction to the sport through his father Marc, president of the Clermont Auvergne Ice Dance Club.


It was Papadakis’ mother, the pair’s first coach, who suggested they start skating together when Gabriella was around nine. The two quickly developed a strong rapport, training hard during their school years. “It comes naturally when you’re 12 and 13, and our first aim was to become champions of France,” explained Papadakis. “And when we took part in our first international competition, we wanted to finish first,” added Cizeron.


A sign of things to come


After excelling on the international stage at junior level and finishing second at the 2013 World Junior Figure Skating Championships in Milan, despite Papadakis suffering from an ankle injury, the French pair made their senior debut in the 2013/14 season.


After placing 13th at their first Worlds in March 2014 they then relocated to Montreal to train. In November that same year they took their maiden major win at the ISU Grand Prix Cup of China in Shanghai and then lifted the Trophée de France in Paris.


Expressing their lofty ambitions, Papadakis said: “We want to innovate, to do things no one’s ever done before and take skating in a new direction.”


World and european doubles


At the 2015 European Championships in Stockholm (SWE), Papadakis and Cizeron scored highest in both the short programme and the free skate to land their first continental title. Two months later in Shanghai (CHN) the French pair added a maiden world title. Performing a stunning free skate to the sound of Mozart’s Piano Concerto No. 23, they scored 112.34 points to climb up from fourth after the short and take the gold.


“It was an intensely pleasurable experience, which was exactly what we wanted to achieve,” said Cizeron at the time. “We are only at the start of our careers and we weren’t really expecting this. Even we are amazed.”


They retained both titles in 2016, in Bratislava (SVK) in January and Boston (USA) in March, again thanks to outstanding performances in the free skate.


Bouncing back


In Montreal, Papadakis and Cizeron trained with Canadian 2010 Olympic champions Tessa Virtue and Scott Moir. Returning from a two-year sabbatical, in December 2016 Virtue and Moir got the better of the French duo at the NHK Trophy in Sapporo (JAP), before beating them once again in the final of the ISU Grand Prix in Marseille (FRA). The defeats were the French pair’s first since the 2014/15 season.


Papadakis and Cizeron were back on top of the podium in January 2017 in Ostrava (CZE), winning their third straight European title by some distance over the Italians Anna Cappellini and Luca Lanotte and the Russians Ekaterina Bobrova and Dmitri Soloviev.


Two months later, however, Virtue and Moir beat them to gold again at the 2017 World Championships in Helsinki, giving the French pair plenty to ponder ahead of the Olympic season.


Record-breaking form


The main contenders for Olympic gold at PyeongChang 2018, the two pairs largely avoided each other on the ISU circuit in the lead-up to the Games. Papadakis and Cizeron became the first duo to break the 200-point barrier at the Cup of China on 4 November 2017 and two weeks later scored a world-record 120.58 in the free dance at the Internationaux de France.


On 9 December the Canadians and French eventually met at the Grand Prix in Nagoya (JAP), where Papadakis and Cizeron set a new combined points world record of 202.16, topping the standings in the short and the free ahead of Virtue and Moir, who totalled 199.86 points. 


Olympic runners-up and world champions


The Olympic showdown between ice dancing’s leading two teams began with Papadakis suffering a problem with her costume during the short programme, which ended with the French trailing their Canadian rivals by a point. It was a gap Papadakis and Cizeron were unable to close in the free, despite posting a new world record of 123.25 points. The reason for that was that Virtue and Moir turned in an equally sparkling performance to clinch their second Olympic title with a world record points total of 206.07, with the French just behind them on 205.28.


“We gave our all and I’m happy with what we achieved,” said Cizeron. “It was almost perfect and we can be proud of ourselves.”


A month later in Milan (ITA), Papadakis and Cizeron won their third world title, reaching new heights in the process, thanks to world records in the short (83.73 points), the free (123.47 points) and overall (207.20 points), putting them well clear of the USA’s Madison Hubbell and Zachary Donohue and Canada’s Kaitlyn Weaver and Andrew Poje.


“This isn’t revenge, because Virtue and Moir weren’t here,” said Cizeron afterwards. “Obviously we wanted to end the season on a high note, especially after what happened at the Games, where we didn’t get the medal we were looking for,” added Papadakis.


Next stop Beijing


The French pair are looking to add to their extensive collection of medals, already planning for their next bid for Olympic gold. “We’ll go again in four years’ time,” said Papadakis. “We’ll need to keep developing our style, though we’re not exactly sure what we’re going to do yet because we were focusing so hard on the Olympic season. We still have a lot of passion, though, and we still want to keep doing new things.


Cizeron added: “We’re going to try to keep moving forward with our dancing, with concepts, and keep trying to do daring things and take ice dancing in a modern and fresh direction.”







"
Cross Country Skiing,beijing-2022,Men's Team Sprint Classic,Men,GOLD,GameTeam,Norway,https://olympics.com/en/athletes/klaebo,Johannes Hoesflot KLAEBO,Norway,NO,NOR,2.0,PyeongChang 2018,1996.0,"


5

G



1

S



1

B

","


He was the hero of the 2017-2018 Olympic cross-country season: at age 21, Johannes Klaebo won three gold medals at PyeongChang 2018 to tie with French biathlete Martin Fourcade for the most gold medals won at the Games. The youngest Olympic champion in his sport, he also became, at the end of the season, the youngest winner of the big FIS Crystal Globe. Norway has a new star! 


On skis by the age of 2 


Johannes Høsflot Klaebo told his story to the FIS after winning his first Crystal Globe (in the sprint) at the end of the 2016-2017 season, his first on the World Cup circuit, during which he continued to compete at the junior level. ""I’m a 20-year old guy from Trondheim. I still live with my younger brother, sister and my parents. My granddad gave me my first pair of skis for Christmas when I was two. Apparently, I was skiing in our living room the whole day. My mum and dad love cross-country skiing, and when we were kids we used to ski a lot together. When I was a kid we spent many hours skiing and jumping. But what I loved most was football. I spent virtually all my time on the pitch and I was sure I would become a footballer."" 


A well-documented journey 


But in the end, growing up in a winter sports nation, it was through cross-country skiing that he would develop his sporting prowess. He participated in his first Junior World Championships in 2015 in Almaty (Kazakhstan), where he won two bronze medals, in the classic sprint and relay. In February 2016, in Râșnov (Romania) he competed in four events and won three gold medals: the freestyle sprint, the 10km classic and the relay. In the same season, he joined the World Cup circuit for the first time. In his second race at this level, in Ruka (Finland) in November 2016, he was on the podium: third in the sprint. He took his first World Cup title, again in the sprint, in Otepää (Estonia) on 18 February 2017, and finished the pre-Olympic season with a bang, winning the “minitour” of Quebec and the Crystal Globe for the sprint. In addition, at the beginning of the year, he started a “vlog” on his YouTube channel, through which he gives his fans – 60,000 subscribers, and some videos with over 200,000 views – a weekly insight into his life as a top-level athlete, by filming and commentating on his journeys across the snow-covered parts of the world. 


An Olympic winter at the top of the world


The young cross-country skier from Trondheim arrived at the PyeongChang Games with a formidable reputation. He was the sensation of the winter season, having already secured 12 wins and 19 podium finishes in 23 races on the World Cup circuit. He impressed audiences and his Norwegian team-mates alike, which included the winner of the overall standings of the last two FIS World Cups, Martin Jonhsrud Sundby. ""What Klaebo’s done during these three days is just incredible. He’s probably the best Norwegian cross-country skier we’ve ever had. This kid is worth the admission fee alone. Only Bjorn Daehlie and Petter Northug are still ahead of him. He’s the best in the world already,"" said Sundby in Ruka at the start of the cross-country winter season from 24 to 26 November 2017, and where Johannes left everyone else behind. He continued his dominant form by winning a total of seven victories before the end of the year, a feat which had never been achieved in just the first two months of the cross-country World Cup. By which point he had a healthy lead in the overall standings. 


The youngest Olympic champion in his sport 


On 11 February 2018, the 15km + 15km skiathlon, the first event to be contested in the Olympic Stadium in Alpensia, ended in an all Norwegian podium. Simen Hegstad Krueger took gold, with the silver going to Martin Johnsrud Sundby and the bronze to Hans Christer Hollund. Not in the mix, Johannes took 10th place. But 48 hours later in the sprint classic, he launched a strong attack on the final hill of the circuit to win in superb style and become, at the age of 21 and 114 days, the youngest cross-country Olympic champion of all time. ""I think there was an enormous amount of pressure from outside in these last two weeks, and to show that I am capable of winning here, it's just incredible,"" he explained. ""Of course, it is tough. It has been a few days since I had a good night's sleep. But now, I can relax and concentrate on the rest of the programme. But I am going to celebrate this now too."" And on the subject of his record as the youngest cross-country Olympic champion, he added: ""Yes, I heard that. It is certainly very cool. I just need to concentrate on what I have to do. And as the pressure can get to you, it is even better to win convincingly. It is just the first event, and I am impatient for the next ones!""


Team gold 


On 18 February, Johannes secured gold for Norway in the 4 x 10km relay. He raced the anchor leg of the relay, in which he left his team's final rival, the Olympic Athlete from Russia (OAR), Denis Spitsov, firmly behind with an unanswerable acceleration on the penultimate hill. Didrik Tønseth, Martin Johnsrud Sundby and Simen Hegstad Krueger, who were waiting in the finish area to celebrate with their team-mate, were completely stunned. ""Many of our skiers could have competed in this relay. We are just grateful to be here, and to be able to go after the gold. On the final lap, I was feeling strong. Also in my first lap, and my skis were well prepared so I knew that I could attack at that moment, on the penultimate hill. I was feeling strong and managed to increase the gap; it was an incredible feeling,"" explained the hero of the day. Three days later, there was another gold to contest in the team sprint free. Johannes and Sundby left no room for suspense. It was the younger of the two who finished the job with a significant lead over the OAR and French duos. There were only two triple Olympic champions at PyeongChang 2018: the French biathlete Martin Fourcade and Johannes Høsflot Klaebo! 


""This guy inspires me,"" said Sundby. ""He only came in last season and in this season, maybe showing us how modern cross-country skiing should be. He is a talent that everybody can see for themselves, but he is only 21 years old. I may have one or two bits of advice to give him over the next few years, but for sure he has taken cross-country skiing to another level.""


The icing on the cake 


After his achievements in Korea, the Norwegian phenomenon still had a task to finish: win the FIS Crystal Globe. Although he reported on his vlog that he was having difficulty motivating himself, and was particularly tired, he mustered up what mental and physical strength he had left for the final events in Lahti (Finland), Drammen and Olso (Norway) and finally Falun (Sweden), and with his 14th victory of the winter – the sprint in Falun on 16 March – became the youngest ever winner of the overall standings in the history of the cross-country skiing World Cup. ""This season has been completely crazy. And now, I am impatient for the next one to begin,"" he said. This roaring start to the young Norwegian's career is just the prologue to what promises to be a tremendous sporting journey at the very highest level.







"
Bobsleigh,beijing-2022,2-man,Men,GOLD,GameTeam,Germany,https://olympics.com/en/athletes/francesco-friedrich,Francesco FRIEDRICH,Germany,DE,GER,3.0,Sochi 2014,1990.0,"


4

G

","


Francesco Friedrich cemented his reputation as one of the greatest bobsleigh pilots in history at Beijing 2022 by retaining his Olympic titles in the two-man and four-man bob.


Born in Pirna in Saxony, Friedrich - commonly known as ""Franz"" - switched from athletics to bobsleigh at 16. His older brother, David, was his pusher until his career was hampered by injury.


He won two-man gold and four-man silver at the 2011 World Junior Championships in Park City, Utah. Two weeks later, Friedrich was 11th in the two-man bob at his first senior World Championships in Koenigsee and claimed gold in the mixed team event featuring bobsleigh and skeleton athletes.


The young driver joined the IBSF World Cup circuit the following year and finished fourth at the World Championships before securing his first World Cup win at Altenburg in January 2013.


Later that month, while still only 22, he became the youngest world champion driver with victory in the two-man bob with brakeman Jannis Baecker.


Friedrich's first Olympic season proved to be a disappointment as he failed to add to his two World Cup wins and only finished sixth in the two-man and eighth in the four-man at Sochi 2014.


But that setback only served to spur him on to a reign of dominance at World Cups and World Championships.


After Friedrich's second world two-man bob title in 2015, coach Gerd Leopold said, ""Franz is a talent that you only see once every hundred years. He has everything needed to make bobsleigh history over the years to come; he is capable of putting his failures behind him and drawing astute conclusions from them.""


His charge has certainly lived up to that lofty billing, winning seven consecutive two-man world titles and four straight four-man crowns.


Friedrich also achieved success on the biggest stage of all, although victory in the two-man bob appeared unlikely after the first day with he and Thorsten Margis lying in fifth place overnight.


But a track record in heat three and the quickest time on the fourth and final run saw the pair tie for gold with Canada's Justin Kripps and Alex Kopacz.


It was not the first time Friedrich had shared the spoils. A year earlier, he and fellow German Johannes Lochner clocked identical aggregate times in the World Championship four-man bob event.


He said afterwards, ""It's really crazy! There were 0.06 seconds between us and we thought that the Canadians were going to win, or that it could end in a draw. I was hoping that it would end like that, and that it would be like at the World Championships in the fours last year, and that's what happened. Fantastic! We have worked so many years for this!""


That was just the start. In the four-man, Friedich - with Margis, Candy Bauer and Martin Grothkopp - dominated from the start with the fastest time in each of the first three heats making the fourth run a victory cruise. They finished over half a second clear of the chasing pack to make Friedrich the sixth bobsleigh pilot to complete the two-man and four-man double at the same Games.


That Olympic triumph was backed up by near-total supremacy with Friedrich taking his World Cup wins tally to 44 in two-man and 22 in four-man.


He was the hot favourite for both events at Beijing 2022 and promptly delivered.


Together with Margis again in the two-man, Friedrich set track records in heats one and three on his way to victory by over Lochner by almost half a second.


Lochner set a track record in the opening heat of the four-man, but Friedrich - with Margis, Bauer and Alexander Schueller - was quickest on each of the next three runs to complete an unprecedented double-double of bobsleigh titles.


Only Andre Lange had previously retained the two-man (2006, 2010) and four-man titles (2002, 2006) but Friedrich is the first to do the double twice at the same Games.


He said, ""We are so happy, and the boys did an amazing job. All those in the background helped us. Without that, it would be not possible to do this.


""I'm lucky that what I'm doing is my job, it's what I love. There's only so much time you have in life that you can perform sport at this level. We take every day, every hour and every second to work flat out to do the best we can.""


Friedrich's attention to detail is legendary. The team is also involved in a bakery in his home region of Saxony with some of the proceeds used to fund the team.


The bobsleigh legend will be 33 at Milano Cortina 2026 where he could add more gold to his already brilliant legacy.





"
Bobsleigh,beijing-2022,2-woman,Women,BRONZE,GameTeam,United States of America,https://olympics.com/en/athletes/elana-meyers-taylor,Elana MEYERS TAYLOR,United States of America,US,USA,4.0,Vancouver 2010,1984.0,"


3

S



2

B

","


Born October 10, 1984 American Elana Meyers Taylor is the definition of bobsleigh royalty.


At Beijing 2022 the California native confirmed her status as such when, age 37, she won a silver in the women's inaugural monobob competition and bronze in the two-person bobsleigh with brakewoman Sylvia Hoffman to become the most decorated Black athlete in the history of the Winter Olympics.


With her two medals from the Chinese capital the American now sits on a total of five Olympic medals - three silver and two bronze - meaning that in five races, at four Olympics, she has never finished off the podium.


Her success in the Chinese capital comes off the back of a career where Meyers Taylor has achieved almost everything her sport has to offer.


It all started at the 2009 World Championships, where she piloted to silver in the two-woman event alongside Shauna Rohbock in Lake Placid, USA.


That performance helped Meyers Taylor get selected for the USA at the Vancouver 2010 Winter Olympics, where she finished with a bronze medal. Another world silver followed at the 2013 world champs in St. Moritz, Switzerland, alongside brakewoman Katie Eberling.


The 2014 season turned out to be a significant turning point for Meyers Taylor on several levels.


Firstly, the American partnered up with Lauryn Williams to win Olympic silver at Sochi 2014. It was also the season where the IBSF announced it would allow mix-gender crews to compete in 4-person bobsleigh, and on 8 November, she piloted a four-person crew to third place in the US trials, securing a place to compete for the US national team with only having four day of experience in a four-person sled.


On November 15, 2014, Meyers Taylor partnered her husband and fellow bobsleigh athlete Nic Taylor to become the first women (alongside Kaillie Humphries) to compete with and against men in an international four-person bobsleigh competition, in the season-opening North American Cup race in Park City, Utah.


Another huge first saw Meyers Taylor secure her - and the United States' - first two-woman world title in 2015 at Winterberg, Germany, alongside pusher Cherrelle Garrett. It was a feat she would go on to repeat at the 2017 Worlds, where she claimed gold again this time, with Kehri Jones.


Meyers Taylor then went on to win her third Olympic medal at the PyeongChang 2018 Games, this time with Lauren Gibbs as brakewoman. Little did she know then, that with the inclusion of the monobob event - something she and Humphries had passionately been advocating for for years - that by the next Olympic cycle would become a sporting legend.


Taylor's talents also extend beyond the snow. She attended George Washington University on a softball scholarship, and in 2014 represented the USA women's rugby sevens team at the China Women's Sevens. She has also served as president of the Women's Sports Foundation, empowering future female athletes.





"
Shooting,tokyo-2020,Trap Mixed Team,Mixed,SILVER,GameTeam,San Marino,https://olympics.com/en/athletes/alessandra-perilli,Alessandra PERILLI,San Marino,SM,SMR,3.0,London 2012,1988.0,"


1

S



1

B

","


A trap shooter, Alessandra Perilli began shooting when she was 15. She won her first international medal at the 2008 European Junior Games in Nicosia, winning a bronze medal. Later that year she added a bronze medal at the Mediterranean Games, a feat she repeated in 2013. She also won a silver medal in 2009 at the Games of the Small States of Europe. At the 2010 World Championships Perilli helped San Marino win a bronze in the women’s team trap shooting event, and in 2013 she helped the San Marino mixed trap team to a bronze at the European Games, accompanying Manuel Mancini. Perilli has won several medals at the World Cup, including, through 2015, two golds, two silvers, and a bronze medal. At London in 2012 she posted the best Olympic finish ever by a Sammarinese athlete when she finished fourth in women’s trap shooting, just missing the podium in a shoot-off.





"
Diving,tokyo-2020,Men's Synchronised 10m Platform,Men,GOLD,GameTeam,Great Britain,https://olympics.com/en/athletes/thomas-daley,Thomas DALEY,Great Britain,GB,GBR,4.0,Beijing 2008,1994.0,"


1

G



3

B

","


At just fourteen years and three months old, Tom Daley was the youngest British Olympian since rowing coxswain Ken Lester, when he competed at the Beijing Olympics. Daley, who began diving at the age of seven, won the British national junior (under-18) platform title in 2004 just a few days after his tenth birthday. In 2007 he became the youngest ever winner of a British senior title when he took the individual platform event and the following years retained his title and added the synchronised event with partner Blake Aldridge. In March 2008 he scored a surprise victory at the European Championships in Eindhoven to become the youngest ever European champion in either swimming or diving. After Beijing he claimed two silver medals at the 2008 World Junior Championships, before winning the senior World Championship in 2009 at the age of 15. Daley won two gold medals at the 2010 Commonwealth Games, in the 10-metre individual and synchronized event with Max Brick. He competed in his second Olympics in 2012 and won an individual bronze medal. After the London Games, he gained celebrity status and hosted his own TV show entitled Splash! 


Daley won a second successive Commonwealth Games gold medal in 2014, and also a silver, in the synchronized event with James Denny. The following year Daley won the inaugural team event at the World Championship with Rebecca Gallantree and ay Rio in 2016, Daley won a second Olympic bronze medal, with Daniel Goodfellow in the synchronized event. In qualifying for the semi-finals in the individual competition with a new Olympic record, Daley was clear favourite to make the final and collect a third Olympic medal. However, he had a succession of disastrous dives, and was eliminated.





"
Canoe Sprint,tokyo-2020,Men's Canoe Double 1000m,Men,GOLD,GameTeam,Cuba,https://olympics.com/en/athletes/serguey-torres,Serguey TORRES,Cuba,CU,CUB,4.0,Beijing 2008,1987.0,"


1

G

","


Serguey Torres had the following podium finishes at the Flatwater World Championships\: 2nd 2005 C2 1000 m (with Karel Aguilar), 3rd 2005 C2 200 m (with Karel Aguilar), 3rd 2005 C2 500 m (with Karel Aguilar), 2nd 2007 C2 1000 m (with Karel Aguilar), 3rd 2014 C2 500 m (with the non-Olympian Rolexis Báez).





"
Canoe Sprint,tokyo-2020,Men's Canoe Double 1000m,Men,BRONZE,GameTeam,Germany,https://olympics.com/en/athletes/sebastian-brendel,Sebastian BRENDEL,Germany,DE,GER,3.0,London 2012,1988.0,"


3

G



1

B

","


Sebastian Brendel had the following podium finishes at the Flatwater World Championships: 1st 2013 C1 5000 m, 1st 2014 C1 1000 m, 1st 2014 C1 5000 m, 1st 2015 C1 1000 m, 1st 2015 C1 5000 m, 2nd 2007 C4 500 m (with the non-Olympians Robert Nuck, Thomas Lück, and Stefan Holtz), 2nd 2013 C1 1000 m, 2nd 2013 C1 4×200 m (with the non-Olympians Robert Nuck, Stefan Holtz, and Stefan Kiraj), 2nd 2014 C1 500 m, 3rd 2009 C1 1000 m, 3rd 2010 C1 1000 m, 3rd 2011 C1 4×200 m (with the non-Olympians Stefan Holtz, Björn Wäschke, and Stefan Kiraj).





"
