discipline_title,slug_game,event_title,event_gender,medal_type,participant_type,participant_title,athlete_url,athlete_full_name,country_name,country_code,country_3_letter_code
Curling,beijing-2022,Mixed Doubles,Mixed,GOLD,GameTeam,Italy,https://olympics.com/en/athletes/stefania-constantini,Stefania CONSTANTINI,Italy,IT,ITA
Curling,beijing-2022,Mixed Doubles,Mixed,GOLD,GameTeam,Italy,https://olympics.com/en/athletes/amos-mosaner,Amos MOSANER,Italy,IT,ITA
Curling,beijing-2022,Mixed Doubles,Mixed,SILVER,GameTeam,Norway,https://olympics.com/en/athletes/kristin-skaslien,Kristin SKASLIEN,Norway,NO,NOR
Curling,beijing-2022,Mixed Doubles,Mixed,SILVER,GameTeam,Norway,https://olympics.com/en/athletes/magnus-nedregotten,Magnus NEDREGOTTEN,Norway,NO,NOR
Curling,beijing-2022,Mixed Doubles,Mixed,BRONZE,GameTeam,Sweden,https://olympics.com/en/athletes/almida-de-val,Almida DE VAL,Sweden,SE,SWE
Curling,beijing-2022,Mixed Doubles,Mixed,BRONZE,GameTeam,Sweden,https://olympics.com/en/athletes/oskar-eriksson,Oskar ERIKSSON,Sweden,SE,SWE
Snowboard,beijing-2022,Mixed Team Snowboard Cross,Mixed,GOLD,GameTeam,United States of America 1,https://olympics.com/en/athletes/nick-baumgartner,Nick BAUMGARTNER,United States of America,US,USA
Snowboard,beijing-2022,Mixed Team Snowboard Cross,Mixed,GOLD,GameTeam,United States of America 1,https://olympics.com/en/athletes/lindsey-jacobellis,Lindsey JACOBELLIS,United States of America,US,USA
Snowboard,beijing-2022,Mixed Team Snowboard Cross,Mixed,SILVER,GameTeam,Italy 1,https://olympics.com/en/athletes/omar-visintin,Omar VISINTIN,Italy,IT,ITA
Snowboard,beijing-2022,Mixed Team Snowboard Cross,Mixed,SILVER,GameTeam,Italy 1,https://olympics.com/en/athletes/michela-moioli,Michela MOIOLI,Italy,IT,ITA
Snowboard,beijing-2022,Mixed Team Snowboard Cross,Mixed,BRONZE,GameTeam,Canada 1,https://olympics.com/en/athletes/eliot-grondin,Eliot GRONDIN,Canada,CA,CAN
Snowboard,beijing-2022,Mixed Team Snowboard Cross,Mixed,BRONZE,GameTeam,Canada 1,https://olympics.com/en/athletes/meryeta-odine,Meryeta ODINE,Canada,CA,CAN
Figure skating,beijing-2022,Team Event,Mixed,GOLD,GameTeam,ROC,https://olympics.com/en/athletes/mark-kondratiuk,Mark KONDRATIUK,ROC,ROC,ROC
Figure skating,beijing-2022,Team Event,Mixed,GOLD,GameTeam,ROC,https://olympics.com/en/athletes/kamila-valieva,Kamila VALIEVA,ROC,ROC,ROC
Figure skating,beijing-2022,Pair Skating,Mixed,GOLD,GameTeam,SUI Wenjing / HAN Cong,https://olympics.com/en/athletes/wenjing-sui,Wenjing SUI,People's Republic of China,CN,CHN
Figure skating,beijing-2022,Pair Skating,Mixed,GOLD,GameTeam,SUI Wenjing / HAN Cong,https://olympics.com/en/athletes/cong-han,Cong HAN,People's Republic of China,CN,CHN
Figure skating,beijing-2022,Pair Skating,Mixed,SILVER,GameTeam,TARASOVA Evgenia / MOROZOV Vladimir,https://olympics.com/en/athletes/tarasova,Evgenia TARASOVA,ROC,ROC,ROC
Figure skating,beijing-2022,Pair Skating,Mixed,SILVER,GameTeam,TARASOVA Evgenia / MOROZOV Vladimir,https://olympics.com/en/athletes/morozov,Vladimir MOROZOV,ROC,ROC,ROC
Figure skating,beijing-2022,Pair Skating,Mixed,BRONZE,GameTeam,MISHINA Anastasia / GALLIAMOV Aleksandr,https://olympics.com/en/athletes/anastasia-mishina,Anastasia MISHINA,ROC,ROC,ROC
Figure skating,beijing-2022,Pair Skating,Mixed,BRONZE,GameTeam,MISHINA Anastasia / GALLIAMOV Aleksandr,https://olympics.com/en/athletes/aleksandr-galliamov,Aleksandr GALLIAMOV,ROC,ROC,ROC
Figure skating,beijing-2022,Ice Dance,Mixed,GOLD,GameTeam,PAPADAKIS Gabriella / CIZERON Guillaume,https://olympics.com/en/athletes/gabriella-papadakis,Gabriella PAPADAKIS,France,FR,FRA
Figure skating,beijing-2022,Ice Dance,Mixed,GOLD,GameTeam,PAPADAKIS Gabriella / CIZERON Guillaume,https://olympics.com/en/athletes/guillaume-cizeron,Guillaume CIZERON,France,FR,FRA
Figure skating,beijing-2022,Ice Dance,Mixed,SILVER,GameTeam,SINITSINA Victoria / KATSALAPOV Nikita,https://olympics.com/en/athletes/victoria-sinitsina,Victoria SINITSINA,ROC,ROC,ROC
Figure skating,beijing-2022,Ice Dance,Mixed,SILVER,GameTeam,SINITSINA Victoria / KATSALAPOV Nikita,https://olympics.com/en/athletes/nikita-katsalapov,Nikita KATSALAPOV,ROC,ROC,ROC
Figure skating,beijing-2022,Ice Dance,Mixed,BRONZE,GameTeam,HUBBELL Madison / DONOHUE Zachary,https://olympics.com/en/athletes/madison-hubbell,Madison HUBBELL,United States of America,US,USA
Figure skating,beijing-2022,Ice Dance,Mixed,BRONZE,GameTeam,HUBBELL Madison / DONOHUE Zachary,https://olympics.com/en/athletes/donohue,Zachary DONOHUE,United States of America,US,USA
Luge,beijing-2022,Doubles,Open,GOLD,GameTeam,WENDL Tobias / ARLT Tobias,https://olympics.com/en/athletes/tobias-wendl,Tobias WENDL,Germany,DE,GER
Luge,beijing-2022,Doubles,Open,GOLD,GameTeam,WENDL Tobias / ARLT Tobias,https://olympics.com/en/athletes/tobias-arlt,Tobias ARLT,Germany,DE,GER
Luge,beijing-2022,Doubles,Open,SILVER,GameTeam,EGGERT Toni / BENECKEN Sascha,https://olympics.com/en/athletes/toni-eggert,Toni EGGERT,Germany,DE,GER
Luge,beijing-2022,Doubles,Open,SILVER,GameTeam,EGGERT Toni / BENECKEN Sascha,https://olympics.com/en/athletes/sascha-benecken,Sascha BENECKEN,Germany,DE,GER
Luge,beijing-2022,Doubles,Open,BRONZE,GameTeam,STEU Thomas / KOLLER Lorenz,https://olympics.com/en/athletes/thomas-steu,Thomas STEU,Austria,AT,AUT
Luge,beijing-2022,Doubles,Open,BRONZE,GameTeam,STEU Thomas / KOLLER Lorenz,https://olympics.com/en/athletes/lorenz-koller,Lorenz KOLLER,Austria,AT,AUT
Cross Country Skiing,beijing-2022,Women's Team Sprint Classic,Women,GOLD,GameTeam,Germany,https://olympics.com/en/athletes/hennig,Katharina HENNIG,Germany,DE,GER
Cross Country Skiing,beijing-2022,Women's Team Sprint Classic,Women,GOLD,GameTeam,Germany,https://olympics.com/en/athletes/victoria-carl,Victoria CARL,Germany,DE,GER
Cross Country Skiing,beijing-2022,Women's Team Sprint Classic,Women,SILVER,GameTeam,Sweden,https://olympics.com/en/athletes/maja-dahlqvist,Maja DAHLQVIST,Sweden,SE,SWE
Cross Country Skiing,beijing-2022,Women's Team Sprint Classic,Women,SILVER,GameTeam,Sweden,https://olympics.com/en/athletes/jonna-sundling,Jonna SUNDLING,Sweden,SE,SWE
Cross Country Skiing,beijing-2022,Women's Team Sprint Classic,Women,BRONZE,GameTeam,ROC,https://olympics.com/en/athletes/belorukova,Yulia STUPAK,ROC,ROC,ROC
Cross Country Skiing,beijing-2022,Women's Team Sprint Classic,Women,BRONZE,GameTeam,ROC,https://olympics.com/en/athletes/nepryaeva,Natalia NEPRYAEVA,ROC,ROC,ROC
Cross Country Skiing,beijing-2022,Men's Team Sprint Classic,Men,GOLD,GameTeam,Norway,https://olympics.com/en/athletes/erik-valnes,Erik VALNES,Norway,NO,NOR
Cross Country Skiing,beijing-2022,Men's Team Sprint Classic,Men,GOLD,GameTeam,Norway,https://olympics.com/en/athletes/klaebo,Johannes Hoesflot KLAEBO,Norway,NO,NOR
Cross Country Skiing,beijing-2022,Men's Team Sprint Classic,Men,SILVER,GameTeam,Finland,https://olympics.com/en/athletes/iivo-niskanen,Iivo NISKANEN,Finland,FI,FIN
Cross Country Skiing,beijing-2022,Men's Team Sprint Classic,Men,SILVER,GameTeam,Finland,https://olympics.com/en/athletes/joni-maeki,Joni MAEKI,Finland,FI,FIN
Cross Country Skiing,beijing-2022,Men's Team Sprint Classic,Men,BRONZE,GameTeam,ROC,https://olympics.com/en/athletes/bolshunov,Alexander BOLSHUNOV,ROC,ROC,ROC
Cross Country Skiing,beijing-2022,Men's Team Sprint Classic,Men,BRONZE,GameTeam,ROC,https://olympics.com/en/athletes/alexander-terentev,Alexander TERENTEV,ROC,ROC,ROC
Bobsleigh,beijing-2022,2-man,Men,GOLD,GameTeam,Germany,https://olympics.com/en/athletes/francesco-friedrich,Francesco FRIEDRICH,Germany,DE,GER
Bobsleigh,beijing-2022,2-man,Men,GOLD,GameTeam,Germany,https://olympics.com/en/athletes/thorsten-margis,Thorsten MARGIS,Germany,DE,GER
Bobsleigh,beijing-2022,2-man,Men,SILVER,GameTeam,Germany,https://olympics.com/en/athletes/johannes-lochner,Johannes LOCHNER,Germany,DE,GER
Bobsleigh,beijing-2022,2-man,Men,SILVER,GameTeam,Germany,https://olympics.com/en/athletes/florian-bauer,Florian BAUER,Germany,DE,GER
Bobsleigh,beijing-2022,2-man,Men,BRONZE,GameTeam,Germany,https://olympics.com/en/athletes/christoph-hafer,Christoph HAFER,Germany,DE,GER
Bobsleigh,beijing-2022,2-man,Men,BRONZE,GameTeam,Germany,https://olympics.com/en/athletes/matthias-sommer,Matthias SOMMER,Germany,DE,GER
Bobsleigh,beijing-2022,2-woman,Women,GOLD,GameTeam,Germany,https://olympics.com/en/athletes/laura-nolte,Laura NOLTE,Germany,DE,GER
Bobsleigh,beijing-2022,2-woman,Women,GOLD,GameTeam,Germany,https://olympics.com/en/athletes/deborah-levi,Deborah LEVI,Germany,DE,GER
Bobsleigh,beijing-2022,2-woman,Women,SILVER,GameTeam,Germany,https://olympics.com/en/athletes/mariama-jamanka,Mariama JAMANKA,Germany,DE,GER
